match_id,date,player_1,player_2,player_1_sets_won,player_2_sets_won,winner,total_sets,set_1_player_1,set_1_player_2,set_2_player_1,set_2_player_2,set_3_player_1,set_3_player_2,set_4_player_1,set_4_player_2,set_5_player_1,set_5_player_2,player_1_clean,player_2_clean,player_1_elo,player_2_elo,elo_diff,p1_win_rate_last5,p2_win_rate_last5,p1_head_to_head_wins,p2_head_to_head_wins,p1_head_to_head_win_ratio,p1_streak,p2_streak,p1_form_volatility,p2_form_volatility,player_1_wins,elo_difference_category
53,2025-12-19,Dawid Kotwica,Michal Wojewodka,3,2,Dawid Kotwica,5,11.0,8.0,11.0,4.0,7.0,11.0,9.0,11.0,11.0,4.0,Dawid Kotwica,Michal Wojewodka,784.0,695.0,89.0,0.6666666666666666,0.5,0.0,0.0,0.0,-1.0,-1.0,0.4714045207910317,0.5,1,50/100
54,2025-12-19,Karol Strowski,Krystian Kolodziej,3,1,Karol Strowski,4,4.0,11.0,11.0,9.0,12.0,10.0,13.0,11.0,,,Karol Strowski,Krystian Kolodziej,1049.0,1125.0,-76.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1,-100/-50
56,2025-12-19,Roman Wiza,Jakub Nowak,3,0,Roman Wiza,3,12.0,10.0,12.0,10.0,11.0,9.0,,,,,Roman Wiza,Jakub Nowak,475.0,528.0,-53.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,2.0,-1.0,0.4714045207910317,0.4714045207910317,1,-100/-50
57,2025-12-19,Bartlomiej Wisniewski,Piotr Staniszewski,3,0,Bartlomiej Wisniewski,3,11.0,9.0,11.0,3.0,11.0,8.0,,,,,Bartlomiej Wisniewski,Piotr Staniszewski,746.0,753.0,-7.0,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,2.0,0.0,0.4714045207910317,1,-50/0
58,2025-12-19,Krzysztof Marcinowski,Krzysztof Niemiec,1,3,Krzysztof Niemiec,4,11.0,13.0,14.0,16.0,11.0,7.0,8.0,11.0,,,Krzysztof Marcinowski,Krzysztof Niemiec,860.0,813.0,47.0,0.0,0.0,0.0,0.0,0.0,-3.0,-4.0,0.0,0.0,0,0/50
60,2025-12-19,Bartlomiej Wisniewski,Dariusz Szlubowski,3,0,Bartlomiej Wisniewski,3,11.0,9.0,11.0,7.0,11.0,8.0,,,,,Bartlomiej Wisniewski,Dariusz Szlubowski,746.0,814.0,-68.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,-3.0,0.4714045207910317,0.0,1,-100/-50
61,2025-12-19,Bartlomiej Mleczko,Maciej Makajew,1,3,Maciej Makajew,4,8.0,11.0,11.0,9.0,6.0,11.0,7.0,11.0,,,Bartlomiej Mleczko,Maciej Makajew,808.0,892.0,-84.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0,-100/-50
62,2025-12-19,Karol Strowski,Michal Krzyzanowski,2,3,Michal Krzyzanowski,5,14.0,12.0,6.0,11.0,13.0,15.0,15.0,13.0,9.0,11.0,Karol Strowski,Michal Krzyzanowski,1049.0,1089.0,-40.0,1.0,0.6666666666666666,0.0,0.0,0.0,3.0,2.0,0.0,0.4714045207910317,0,-50/0
63,2025-12-19,Wojciech Gluszek,Piotr Staniszewski,3,1,Wojciech Gluszek,4,11.0,6.0,10.0,12.0,11.0,7.0,11.0,5.0,,,Wojciech Gluszek,Piotr Staniszewski,745.0,753.0,-8.0,0.0,0.5,0.0,0.0,0.0,-3.0,-1.0,0.0,0.5,1,-50/0
64,2025-12-19,Artur Daniel,Adrian Spychala,1,3,Adrian Spychala,4,7.0,11.0,11.0,2.0,9.0,11.0,6.0,11.0,,,Artur Daniel,Adrian Spychala,1060.0,1034.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0/50
67,2025-12-19,Grzegorz Poliniewicz,Arkadiusz Mugowski,3,1,Grzegorz Poliniewicz,4,11.0,9.0,8.0,11.0,11.0,8.0,11.0,7.0,,,Grzegorz Poliniewicz,Arkadiusz Mugowski,954.0,792.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100/200
68,2025-12-19,Bartlomiej Wisniewski,Wojciech Iwasyszyn,1,3,Wojciech Iwasyszyn,4,9.0,11.0,9.0,11.0,11.0,8.0,6.0,11.0,,,Bartlomiej Wisniewski,Wojciech Iwasyszyn,746.0,793.0,-47.0,0.75,0.0,0.0,0.0,0.0,3.0,0.0,0.4330127018922193,0.0,0,-50/0
69,2025-12-19,Jan Zandecki,Karol Strowski,3,0,Jan Zandecki,3,11.0,8.0,17.0,15.0,11.0,4.0,,,,,Jan Zandecki,Karol Strowski,1173.0,1049.0,124.0,0.0,0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.4330127018922193,1,100/200
73,2025-12-19,Dawid Poloszczanski,Igor Dabrowski,3,0,Dawid Poloszczanski,3,11.0,4.0,14.0,12.0,11.0,8.0,,,,,Dawid Poloszczanski,Igor Dabrowski,702.0,790.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-100/-50
74,2025-12-19,Miroslav Sklensky,Mateusz Golebiowski,2,3,Mateusz Golebiowski,5,5.0,11.0,5.0,11.0,11.0,9.0,11.0,9.0,8.0,11.0,Miroslav Sklensky,Mateusz Golebiowski,1120.0,1248.0,-128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-200/-100
76,2025-12-19,Krzysztof Hetnar,Mariusz Baron,0,3,Mariusz Baron,3,10.0,12.0,9.0,11.0,11.0,13.0,,,,,Krzysztof Hetnar,Mariusz Baron,654.0,575.0,79.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,50/100
78,2025-12-19,Piotr Staniszewski,Wojciech Iwasyszyn,3,1,Piotr Staniszewski,4,12.0,10.0,11.0,6.0,8.0,11.0,11.0,7.0,,,Piotr Staniszewski,Wojciech Iwasyszyn,753.0,793.0,-40.0,0.4,1.0,0.0,0.0,0.0,-2.0,1.0,0.48989794855663565,0.0,1,-50/0
79,2025-12-19,Karol Strowski,Artur Daniel,3,2,Karol Strowski,5,8.0,11.0,11.0,3.0,11.0,6.0,3.0,11.0,11.0,9.0,Karol Strowski,Artur Daniel,1049.0,1060.0,-11.0,0.6,0.0,0.0,0.0,0.0,-2.0,-1.0,0.48989794855663565,0.0,1,-50/0
81,2025-12-19,Karol Wisniewski,Michal Malachowski,3,2,Karol Wisniewski,5,8.0,11.0,11.0,6.0,9.0,11.0,11.0,5.0,11.0,7.0,Karol Wisniewski,Michal Malachowski,1047.0,1087.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,-50/0
83,2025-12-19,Wojciech Gluszek,Igor Dabrowski,3,2,Wojciech Gluszek,5,11.0,7.0,4.0,11.0,11.0,9.0,6.0,11.0,11.0,9.0,Wojciech Gluszek,Igor Dabrowski,745.0,790.0,-45.0,0.25,0.0,0.0,0.0,0.0,1.0,-1.0,0.4330127018922193,0.0,1,-50/0
84,2025-12-19,Jan Zandecki,Mateusz Golebiowski,0,3,Mateusz Golebiowski,3,7.0,11.0,4.0,11.0,9.0,11.0,,,,,Jan Zandecki,Mateusz Golebiowski,1173.0,1248.0,-75.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-100/-50
87,2025-12-19,Wojciech Gronowski,Grzegorz Poliniewicz,1,3,Grzegorz Poliniewicz,4,7.0,11.0,8.0,11.0,13.0,11.0,9.0,11.0,,,Wojciech Gronowski,Grzegorz Poliniewicz,807.0,954.0,-147.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0,-200/-100
